"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 12:34:59 GMT 2024","Thu Sep 05 12:35:01 GMT 2024","1319","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsXMLResponseTest","getMakesOfCarsXMLResponseTest()",""
"passed","Thu Sep 05 12:34:55 GMT 2024","Thu Sep 05 12:35:01 GMT 2024","5244","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsResponseTest","getMakesOfCarsResponseTest()",""
"passed","Thu Sep 05 12:34:53 GMT 2024","Thu Sep 05 12:34:58 GMT 2024","4777","","com.donesvad.scenario.CarManufacturerTest","","com.donesvad.scenario.CarManufacturerTest","getSpecificCarManufacturerTest","getSpecificCarManufacturerTest()",""
"passed","Thu Sep 05 12:34:55 GMT 2024","Thu Sep 05 12:35:01 GMT 2024","5236","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getSpecificMakeOfCarsTest","getSpecificMakeOfCarsTest()",""
"passed","Thu Sep 05 12:34:53 GMT 2024","Thu Sep 05 12:34:58 GMT 2024","4769","","com.donesvad.scenario.CarManufacturerTest","","com.donesvad.scenario.CarManufacturerTest","getCarManufacturersResponseTest","getCarManufacturersResponseTest()",""
"passed","Thu Sep 05 12:34:55 GMT 2024","Thu Sep 05 12:34:59 GMT 2024","3789","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsXMLMockedResponseTest","getMakesOfCarsXMLMockedResponseTest()",""
