"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 13:55:08 GMT 2024","Wed Sep 04 13:55:14 GMT 2024","5405","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getSpecificMakeOfCarsTest","getSpecificMakeOfCarsTest()",""
"passed","Wed Sep 04 13:55:06 GMT 2024","Wed Sep 04 13:55:11 GMT 2024","5571","","com.donesvad.scenario.CarManufacturerTest","","com.donesvad.scenario.CarManufacturerTest","getSpecificCarManufacturerTest","getSpecificCarManufacturerTest()",""
"passed","Wed Sep 04 13:55:08 GMT 2024","Wed Sep 04 13:55:14 GMT 2024","5489","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsResponseTest","getMakesOfCarsResponseTest()",""
"passed","Wed Sep 04 13:55:08 GMT 2024","Wed Sep 04 13:55:13 GMT 2024","4208","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsXMLMockedResponseTest","getMakesOfCarsXMLMockedResponseTest()",""
"passed","Wed Sep 04 13:55:06 GMT 2024","Wed Sep 04 13:55:11 GMT 2024","5564","","com.donesvad.scenario.CarManufacturerTest","","com.donesvad.scenario.CarManufacturerTest","getCarManufacturersResponseTest","getCarManufacturersResponseTest()",""
"passed","Wed Sep 04 13:55:13 GMT 2024","Wed Sep 04 13:55:14 GMT 2024","1327","","com.donesvad.scenario.MakesOfCarsTest","","com.donesvad.scenario.MakesOfCarsTest","getMakesOfCarsXMLResponseTest","getMakesOfCarsXMLResponseTest()",""
