"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 03 13:34:25 GMT 2024","Tue Sep 03 13:34:30 GMT 2024","4580","","com.donesvad.scenario.CarsTest","","com.donesvad.scenario.CarsTest","getSpecificCarManufacturerTest","getSpecificCarManufacturerTest()",""
"passed","Tue Sep 03 13:34:30 GMT 2024","Tue Sep 03 13:34:30 GMT 2024","843","","com.donesvad.scenario.CarsTest","","com.donesvad.scenario.CarsTest","getCarsManufacturersResponseTest","getCarsManufacturersResponseTest()",""
"passed","Tue Sep 03 13:34:31 GMT 2024","Tue Sep 03 13:34:32 GMT 2024","1815","","com.donesvad.scenario.CarsTest","","com.donesvad.scenario.CarsTest","getSpecificMakeOfCarsTest","getSpecificMakeOfCarsTest()",""
"passed","Tue Sep 03 13:34:32 GMT 2024","Tue Sep 03 13:34:32 GMT 2024","176","","com.donesvad.scenario.CarsTest","","com.donesvad.scenario.CarsTest","getMakesOfCarsYamlResponseTest","getMakesOfCarsYamlResponseTest()",""
"passed","Tue Sep 03 13:34:33 GMT 2024","Tue Sep 03 13:34:34 GMT 2024","1790","","com.donesvad.scenario.CarsTest","","com.donesvad.scenario.CarsTest","getMakesOfCarsResponseTest","getMakesOfCarsResponseTest()",""
